Classifier Name,Training or Test set,Balanced or unbalanced train set,Number of training samples,Number of non-healthy companies,TP,TN,FP,FN,ROC-AUC,Accuracy,Precision,Recall,F1 Score,Fold
LDA,Train,Balanced,744,186,73,520,38,113,0.8582591436389564,0.7970430107526881,0.6576576576576577,0.3924731182795699,0.49158249158249157,1
LDA,Test,Unbalanced,2679,62,27,2430,187,35,0.8265805465504703,0.9171332586786114,0.1261682242990654,0.43548387096774194,0.1956521739130435,1
Logistic Regression,Train,Balanced,744,186,69,527,31,117,0.8548579797279069,0.8010752688172043,0.69,0.3709677419354839,0.4825174825174825,1
Logistic Regression,Test,Unbalanced,2679,62,28,2436,181,34,0.8337606468869797,0.9197461739455021,0.1339712918660287,0.45161290322580644,0.2066420664206642,1
Decision Tree,Train,Balanced,744,186,120,533,25,66,0.907585655374417,0.8776881720430108,0.8275862068965517,0.6451612903225806,0.7250755287009063,1
Decision Tree,Test,Unbalanced,2679,62,27,2337,280,35,0.7365950916464308,0.8824188129899216,0.08794788273615635,0.43548387096774194,0.14634146341463414,1
Random Forest,Train,Balanced,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,1
Random Forest,Test,Unbalanced,2679,62,34,2387,230,28,0.8458774514033552,0.9036954087346024,0.12878787878787878,0.5483870967741935,0.2085889570552147,1
KNN,Train,Balanced,744,186,116,517,41,70,0.9153803907966239,0.8508064516129032,0.7388535031847133,0.6236559139784946,0.6763848396501457,1
KNN,Test,Unbalanced,2679,62,36,2316,301,26,0.8274772886955022,0.8779395296752519,0.10682492581602374,0.5806451612903226,0.18045112781954886,1
Naive Bayes,Train,Balanced,744,186,92,492,66,94,0.8365128916637761,0.7849462365591398,0.5822784810126582,0.4946236559139785,0.5348837209302325,1
Naive Bayes,Test,Unbalanced,2679,62,31,2312,305,31,0.8234619793656859,0.8745800671892497,0.09226190476190477,0.5,0.15577889447236182,1
SVM,Train,Balanced,744,186,91,532,26,95,0.8875399853547616,0.8373655913978495,0.7777777777777778,0.489247311827957,0.6006600660066007,1
SVM,Test,Unbalanced,2679,62,32,2420,197,30,0.8433967729609131,0.9152668906308324,0.13973799126637554,0.5161290322580645,0.21993127147766323,1
Gradient Boosting,Train,Balanced,744,186,155,554,4,31,0.9944213203838593,0.9529569892473119,0.9748427672955975,0.8333333333333334,0.8985507246376812,1
Gradient Boosting,Test,Unbalanced,2679,62,34,2351,266,28,0.8313385186189555,0.8902575587905935,0.11333333333333333,0.5483870967741935,0.1878453038674033,1
LDA,Train,Balanced,744,186,72,525,33,114,0.8424191621382048,0.8024193548387096,0.6857142857142857,0.3870967741935484,0.4948453608247423,2
LDA,Test,Unbalanced,2679,62,34,2425,192,28,0.8762680735143663,0.917879805897723,0.1504424778761062,0.5483870967741935,0.2361111111111111,2
Logistic Regression,Train,Balanced,744,186,65,530,28,121,0.8408004778972522,0.7997311827956989,0.6989247311827957,0.34946236559139787,0.4659498207885305,2
Logistic Regression,Test,Unbalanced,2679,62,28,2471,146,34,0.8673376311215748,0.9328107502799552,0.16091954022988506,0.45161290322580644,0.23728813559322035,2
Decision Tree,Train,Balanced,744,186,101,542,16,85,0.8978542798782133,0.864247311827957,0.8632478632478633,0.543010752688172,0.6666666666666666,2
Decision Tree,Test,Unbalanced,2679,62,32,2373,244,30,0.7770162831116645,0.8977230309817096,0.11594202898550725,0.5161290322580645,0.1893491124260355,2
Random Forest,Train,Balanced,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,2
Random Forest,Test,Unbalanced,2679,62,35,2416,201,27,0.8918639910264154,0.9148936170212766,0.1483050847457627,0.5645161290322581,0.2348993288590604,2
KNN,Train,Balanced,744,186,109,519,39,77,0.903264346552588,0.8440860215053764,0.7364864864864865,0.5860215053763441,0.6526946107784432,2
KNN,Test,Unbalanced,2679,62,32,2346,271,30,0.834734428735193,0.8876446435237029,0.10561056105610561,0.5161290322580645,0.17534246575342466,2
Naive Bayes,Train,Balanced,744,186,100,484,74,86,0.8253748024819825,0.7849462365591398,0.5747126436781609,0.5376344086021505,0.5555555555555556,2
Naive Bayes,Test,Unbalanced,2679,62,42,2254,363,20,0.8440469880557644,0.8570362075401269,0.1037037037037037,0.6774193548387096,0.17987152034261242,2
SVM,Train,Balanced,744,186,70,543,15,116,0.8766235017535746,0.8239247311827957,0.8235294117647058,0.3763440860215054,0.5166051660516605,2
SVM,Test,Unbalanced,2679,62,25,2508,109,37,0.8426633549866258,0.9455020530048526,0.1865671641791045,0.4032258064516129,0.25510204081632654,2
Gradient Boosting,Train,Balanced,744,186,157,553,5,29,0.989285851928932,0.9543010752688172,0.9691358024691358,0.8440860215053764,0.9022988505747126,2
Gradient Boosting,Test,Unbalanced,2679,62,42,2399,218,20,0.8867886153808225,0.9111608809257186,0.16153846153846155,0.6774193548387096,0.2608695652173913,2
LDA,Train,Balanced,744,186,81,527,31,105,0.8577966624272556,0.8172043010752689,0.7232142857142857,0.43548387096774194,0.5436241610738255,3
LDA,Test,Unbalanced,2679,62,19,2426,191,43,0.8069693197086051,0.9126539753639418,0.09047619047619047,0.3064516129032258,0.13970588235294118,3
Logistic Regression,Train,Balanced,744,186,75,531,27,111,0.8585096542952942,0.8145161290322581,0.7352941176470589,0.4032258064516129,0.5208333333333334,3
Logistic Regression,Test,Unbalanced,2679,62,14,2451,166,48,0.8034871251248044,0.9201194475550578,0.07777777777777778,0.22580645161290322,0.11570247933884298,3
Decision Tree,Train,Balanced,744,186,140,498,60,46,0.9177120669056152,0.8575268817204301,0.7,0.7526881720430108,0.7253886010362695,3
Decision Tree,Test,Unbalanced,2679,62,29,2114,503,33,0.6744332959433974,0.7999253452780888,0.05451127819548872,0.46774193548387094,0.09764309764309764,3
Random Forest,Train,Balanced,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,3
Random Forest,Test,Unbalanced,2679,62,24,2403,214,38,0.7958786840386061,0.9059350503919373,0.10084033613445378,0.3870967741935484,0.16,3
KNN,Train,Balanced,744,186,118,528,30,68,0.9234545419508999,0.8682795698924731,0.7972972972972973,0.6344086021505376,0.7065868263473054,3
KNN,Test,Unbalanced,2679,62,19,2372,245,43,0.7284412094617082,0.8924972004479284,0.07196969696969698,0.3064516129032258,0.1165644171779141,3
Naive Bayes,Train,Balanced,744,186,86,495,63,100,0.8418217905730913,0.7809139784946236,0.5771812080536913,0.46236559139784944,0.5134328358208955,3
Naive Bayes,Test,Unbalanced,2679,62,23,2277,340,39,0.7825446522119639,0.8585293019783501,0.06336088154269973,0.3709677419354839,0.10823529411764705,3
SVM,Train,Balanced,744,186,92,533,25,94,0.8885709330558446,0.8400537634408602,0.7863247863247863,0.4946236559139785,0.6072607260726073,3
SVM,Test,Unbalanced,2679,62,15,2442,175,47,0.7765263105994304,0.9171332586786114,0.07894736842105263,0.24193548387096775,0.11904761904761904,3
Gradient Boosting,Train,Balanced,744,186,159,553,5,27,0.9924943153351062,0.956989247311828,0.9695121951219512,0.8548387096774194,0.9085714285714286,3
Gradient Boosting,Test,Unbalanced,2679,62,21,2361,256,41,0.7768714484696833,0.8891377379619261,0.07581227436823104,0.3387096774193548,0.12389380530973451,3
LDA,Train,Balanced,744,186,75,526,32,111,0.8367826723706016,0.8077956989247311,0.7009345794392523,0.4032258064516129,0.5119453924914675,4
LDA,Test,Unbalanced,2679,62,20,2448,169,42,0.8533533842000813,0.9212392683837253,0.10582010582010581,0.3225806451612903,0.1593625498007968,4
Logistic Regression,Train,Balanced,744,186,69,531,27,117,0.8335549389139398,0.8064516129032258,0.71875,0.3709677419354839,0.48936170212765956,4
Logistic Regression,Test,Unbalanced,2679,62,19,2463,154,43,0.8473134714706572,0.9264650989175065,0.10982658959537572,0.3064516129032258,0.16170212765957448,4
Decision Tree,Train,Balanced,744,186,137,517,41,49,0.9132895903187267,0.8790322580645161,0.7696629213483146,0.7365591397849462,0.7527472527472527,4
Decision Tree,Test,Unbalanced,2679,62,28,2242,375,34,0.7412082290729349,0.847331093691676,0.06947890818858561,0.45161290322580644,0.12043010752688173,4
Random Forest,Train,Balanced,744,186,186,558,0,0,0.9999999999999999,1.0,1.0,1.0,1.0,4
Random Forest,Test,Unbalanced,2679,62,32,2439,178,30,0.8752264967273534,0.9223590892123927,0.1523809523809524,0.5161290322580645,0.23529411764705882,4
KNN,Train,Balanced,744,186,110,522,36,76,0.9131354299148264,0.8494623655913979,0.7534246575342466,0.5913978494623656,0.6626506024096386,4
KNN,Test,Unbalanced,2679,62,30,2313,304,32,0.790726268689832,0.8745800671892497,0.08982035928143713,0.4838709677419355,0.15151515151515152,4
Naive Bayes,Train,Balanced,744,186,94,490,68,92,0.8139380275176321,0.7849462365591398,0.5802469135802469,0.5053763440860215,0.5402298850574713,4
Naive Bayes,Test,Unbalanced,2679,62,32,2302,315,30,0.8382412760240117,0.8712206047032475,0.09221902017291066,0.5161290322580645,0.15647921760391198,4
SVM,Train,Balanced,744,186,81,535,23,105,0.8834258295756735,0.8279569892473119,0.7788461538461539,0.43548387096774194,0.5586206896551724,4
SVM,Test,Unbalanced,2679,62,21,2473,144,41,0.8448482009688514,0.9309443822321762,0.12727272727272726,0.3387096774193548,0.18502202643171806,4
Gradient Boosting,Train,Balanced,744,186,154,553,5,32,0.9925906655875438,0.9502688172043011,0.9685534591194969,0.8279569892473119,0.8927536231884058,4
Gradient Boosting,Test,Unbalanced,2679,62,33,2428,189,29,0.8674793841754287,0.9186263531168346,0.14864864864864866,0.532258064516129,0.2323943661971831,4
