Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
Random Forest,Train,0,0.22424527315882437,0.07763677608260179,0.062201785464242286,1608681406743.6528,71.98273268398265,24.92140512251518,19.966773134021775,0.17661472317007287
Random Forest,Test,0,0.4498539286950502,0.1749175361682028,0.14178237138283864,0.6057240122425065,144.40311111111112,56.1485291099931,45.51214121389121,0.40573377709783626
Gaussian Process,Train,0,0.4884217065911707,0.1635659304403977,0.13260369493521482,4544248372622.155,156.78336781576579,52.50466367136766,42.56578607420396,0.3821958978718161
Gaussian Process,Test,0,0.4678753566370274,0.16989779152810522,0.1374371389200534,0.5740275346070097,150.1879894804858,54.53719108052177,44.11732159333713,0.3815037645211126
SVR,Train,0,0.5003959914998546,0.16701507226390003,0.13519216699206776,4626185949909.118,160.62711327145334,53.61183819671191,43.39668560445375,0.38853497312876467
SVR,Test,0,0.46174813561307526,0.17461634761912787,0.1410511054585156,0.5890763151177232,148.22115153179718,56.05184758574005,45.277404852183516,0.39060747509490346
kNN,Train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kNN,Test,0,0.46362030061813825,0.17369695831784593,0.1385215499699849,0.5701762421790569,148.8221164984224,55.756723620028545,44.46541754036514,0.38019229408079874
Random Forest,Train,1,0.2946831668334212,0.10244006378576617,0.08285269395542456,1732303827179.677,94.5932965535282,32.88326047523094,26.59571475969129,0.23398919135479157
Random Forest,Test,1,0.4154219182415887,0.15828003822310727,0.12874752362888625,0.5237029868384,133.35043575555,50.807892269617426,41.3279550848725,0.3414872507495964
Gaussian Process,Train,1,0.46764959758768454,0.16592387122768518,0.13431980132133145,4594422753336.593,150.11552082564674,53.26156266408695,43.1166562241474,0.38683927858610034
Gaussian Process,Test,1,0.37986232241462814,0.14964552671085257,0.11823166553600015,0.4998708551586952,121.93580549509565,48.03621407418367,37.95236463705604,0.32057066505517934
SVR,Train,1,0.4895803161466198,0.16070669219890754,0.12860543573075195,4208804728135.531,157.15528148306495,51.58684819584933,41.28234486957138,0.37319967795893755
SVR,Test,1,0.3961331211488566,0.15396255792035043,0.1207261903398522,0.5221542155239304,127.15873188878297,49.421981092432496,38.75310709909256,0.33093435020146006
kNN,Train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kNN,Test,1,0.4161683470156136,0.17196192459583415,0.13213178451653648,0.5292098006152198,133.59003939201196,55.19977779526277,42.41430282980821,0.341430101910761
Random Forest,Train,2,0.31194042002171496,0.09877513840591413,0.07834118343251757,2385582832655.118,100.1328748269705,31.706819428298434,25.14751988183814,0.22521764697284166
Random Forest,Test,2,0.43830031722708823,0.20394011753518304,0.17342421986468026,0.7197018057967972,140.6944018298953,65.46477772879376,55.66917457656237,0.478093241717183
Gaussian Process,Train,2,0.4681099830764973,0.15432335823577403,0.12402662388157668,4297540763322.109,150.26330456755565,49.53779799368346,39.812546265986114,0.35607257609410253
Gaussian Process,Test,2,0.43826758533244037,0.19347238898679653,0.16396817474126257,0.7079654563894348,140.68389489171335,62.10463686476169,52.63378409194528,0.4662787121285002
SVR,Train,2,0.4748216909287709,0.15211992870472826,0.1226983812523721,4091564110161.8345,152.41776278813546,48.83049711421778,39.38618038201146,0.3496917255564515
SVR,Test,2,0.4648134641766678,0.19939380596223247,0.16712818270977692,0.6973185085916374,149.2051220007104,64.00541171387663,53.64814664983839,0.4638645936804656
kNN,Train,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kNN,Test,2,0.46708317501726504,0.19827201228463956,0.16449543370511988,0.7067543440050745,149.93369918054208,63.6453159433693,52.80303421934349,0.46511695399268455
Random Forest,Train,3,0.3126224523348502,0.1027232760605378,0.08271092336845529,1846488950839.625,100.35180719948693,32.97417161543263,26.550206401274146,0.23669532962420683
Random Forest,Test,3,0.40982362008245066,0.17640691636587025,0.14259073907542677,0.5671589213817972,131.55338204646665,56.62662015344435,45.77162724321199,0.35365632511705186
Gaussian Process,Train,3,0.48451251629418346,0.1644886387762728,0.13258060797784055,4382149157725.4463,155.5285177304329,52.800853047183566,42.55837516088682,0.38568475228678517
Gaussian Process,Test,3,0.40325071931174894,0.16066348458923424,0.13049338686574832,0.533830283006254,129.4434808990714,51.57297855314419,41.888377183905206,0.31374836221648433
SVR,Train,3,0.492385763653257,0.1574499252511826,0.12621715848736886,3468667162195.4937,158.0558301326955,50.54142600562962,40.515707874445404,0.3593449894273387
SVR,Test,3,0.470588240746651,0.16855555642868883,0.13716540736983474,0.5706036031556686,151.05882527967498,54.10633361360912,44.030095765716936,0.34404936762170263
kNN,Train,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kNN,Test,3,0.5194895397104384,0.1791458264442033,0.13978916178585096,0.5407813168092542,166.75614224705072,57.50581028858925,44.87232093325815,0.3342001500810162
Random Forest,Train,4,0.2920475741584211,0.10206932065114845,0.08287666931466064,0.36845063148969887,93.74727130485317,32.764251929018656,26.603410850006068,0.2328392933178863
Random Forest,Test,4,0.5284742862492023,0.1874336110931933,0.152607158390193,19137545583124.89,169.64024588599398,60.16618916091505,48.98689784325195,0.45815231631417613
Gaussian Process,Train,4,0.4654989442685955,0.16244525089568912,0.13136265666101615,0.5902592140069821,149.42516111021916,52.14492553751621,42.1674127881862,0.3720940694933459
Gaussian Process,Test,4,0.3728470329058538,0.16865017761932868,0.13456445134957531,23002106280288.2,119.68389756277907,54.1367070158045,43.195188883213675,0.41179620747115186
SVR,Train,4,0.48039269791018724,0.1680950513480835,0.1361012598570227,0.6008266982807487,154.2060560291701,53.9585114827348,43.688504414104294,0.37974901452967885
SVR,Test,4,0.3737483608114689,0.17231198125227434,0.1380993179317694,23057712033985.027,119.97322382048151,55.312145981980066,44.32988105609799,0.42136867865444216
kNN,Train,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kNN,Test,4,0.5937752829158156,0.1906714825427837,0.15144182464815717,22041817031515.863,190.60186581597685,61.20554589623357,48.612825712058445,0.43350569432927644
Random Forest,Train,5,0.32037318414751076,0.1023340783656736,0.08256010585860456,2512845706820.7627,102.83979211135096,32.84923915538123,26.501793980612064,0.23194740915299764
Random Forest,Test,5,0.4740920025155859,0.17423994111459348,0.14313333546891324,0.7310704170492296,152.18353280750307,55.9310210977845,45.945800685521164,0.45969428751361685
Gaussian Process,Train,5,0.49373859250869445,0.16002043984485004,0.12866679025852654,4614914163485.064,158.49008819529092,51.36656119019687,41.302039672987014,0.3631318149303019
Gaussian Process,Test,5,0.47991554796731417,0.1812400060606946,0.14828128274156416,0.7606502928949208,154.05289089750784,58.17804194548297,47.5982917600421,0.4800477656498289
SVR,Train,5,0.5108288047746913,0.1641900347882024,0.13147890820186411,4797707475578.576,163.9760463326759,52.705001167012966,42.204729532798375,0.36988781022142403
SVR,Test,5,0.4764874274152536,0.18632089657025672,0.15362987229566413,0.7791099423745512,152.9524642002964,59.8090077990524,49.315189006908184,0.49398139015188164
kNN,Train,5,0.4338714245256301,0.1640593118115472,0.12952256398803014,4794155891537.222,139.27272727272728,52.66303909150665,41.57674304015767,0.3675009065868233
kNN,Test,5,0.523647691871991,0.17207806853640237,0.1417270903892335,0.7190217572363728,168.0909090909091,55.23706000018516,45.49439601494396,0.4515530939584451
